id,age,gender,switch.h2w,switch.w2h,gcos.auto,gcos.cont,gcos.impe,mvs.intrinsic,mvs.integrated,mvs.identified,mvs.introjected,mvs.external,mvs.amotivation,triptype,info,familiarity,choice,time
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2F,B,L,1,1.5
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2H,F,P,1,4
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2W,C,R,1,2
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2F,F,R,2,8
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2F,C,R,1,4
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2H,C,P,1,4
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2W,F,R,1,2
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2F,V,P,2,3
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2F,F,R,1,1
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2H,V,P,2,16
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2W,V,R,1,7
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,W2F,C,P,1,4
5,21,Male,Twice a week or more,Twice a week or more,6.42,3.75,3.08,4.75,3.75,4.25,4,3.5,2,H2F,C,P,1,3
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2H,F,R,2,3
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2W,F,P,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2F,F,R,2,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2F,C,P,1,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2H,B,L,1,4
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2W,V,P,2,4
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2F,C,R,1,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2F,C,R,1,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2H,V,R,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2W,C,R,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2F,V,R,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2F,B,L,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2H,C,P,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2W,C,P,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2F,B,L,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2F,F,R,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2H,C,R,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2W,V,R,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2F,C,P,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2F,V,R,2,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2H,V,P,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2W,B,L,1,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2F,F,P,2,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2F,V,P,2,1
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2H,F,P,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2W,F,R,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,W2F,V,P,2,2
6,23,Male,Never,Once a week,5.67,3.58,4.33,3.75,3.5,4,3.25,2.75,2.25,H2F,F,P,2,2
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2H,B,L,1,12.53
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2W,C,R,1,9.86
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2F,V,R,1,7.03
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2F,V,P,1,30.93
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2H,C,P,1,9.37
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2W,F,P,1,6.37
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2F,B,L,1,3.88
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2F,V,R,1,3.19
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2H,F,R,1,6.31
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2W,V,R,1,6.47
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2F,V,P,1,7.89
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2F,F,P,1,7.91
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2H,V,P,1,6.46
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2W,V,P,1,4.23
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2F,F,R,1,6.62
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2F,C,P,1,5.78
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2H,V,R,1,3.39
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2W,F,R,1,4.48
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2F,F,P,1,2.49
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2F,B,L,1,2.21
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2H,F,P,1,4.15
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2W,C,P,1,4.68
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2F,C,P,1,3.34
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2F,C,R,1,2.94
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2H,C,R,1,5.3
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,H2W,B,L,1,4.24
7,22,Male,Never,Never,6.42,3.00,2.42,5,2,3.75,1,1,1,W2F,C,R,1,3.34
